업소명,coords,lats,longs
서울와사공업(주),"[37.636226554, 127.02454178]","[[37.63578945, 37.63578309, 37.63568578, 37.63569341, 37.63578945], [37.63609025, 37.63603374, 37.63610454, 37.63615717, 37.63609025], [37.63638168, 37.63635967, 37.63636361, 37.63634583, 37.63634838, 37.63633377, 37.63632586, 37.63630324, 37.63635372, 37.63635836, 37.63636584, 37.63638981, 37.6363903, 37.6364138, 37.63641124, 37.63643347, 37.63642749, 37.63643313, 37.63638168]]","[[127.02529486, 127.02516468, 127.0251728, 127.02530309, 127.02529486], [127.02511096, 127.02518912, 127.02526256, 127.02518508, 127.02511096], [127.02507393, 127.02510097, 127.02510884, 127.02513134, 127.02513453, 127.02515302, 127.02514388, 127.02517236, 127.02523705, 127.02523124, 127.02524093, 127.02521109, 127.02521169, 127.02518355, 127.02518036, 127.02515144, 127.02514396, 127.02513822, 127.02507393]]"
국제가스공업(주),"[37.634360356, 127.021860827]","[[37.63470033, 37.63471358, 37.63472174, 37.63482878, 37.63482609, 37.6348424, 37.63483845, 37.63479322, 37.63477884, 37.63474974, 37.63474355, 37.63467525, 37.63470033], [37.63495563, 37.63493563, 37.63493671, 37.63487364, 37.63488665, 37.63488278, 37.63488448, 37.63489538, 37.63489673, 37.63497042, 37.63496183, 37.63496885, 37.63496769, 37.63496183, 37.63495563], [37.63381795, 37.63369121, 37.63362344, 37.63374433, 37.63376001, 37.6337655, 37.63381795], [37.63364853, 37.63370846, 37.63358272, 37.63351827, 37.63364853], [37.6339513, 37.63389403, 37.63382974, 37.633888, 37.6339513], [37.63446286, 37.63444484, 37.63421835, 37.63422318, 37.63424203, 37.63424277, 37.63421638, 37.63421968, 37.63422173, 37.63428493, 37.63428552, 37.6343304, 37.63433217, 37.6343205, 37.63432363, 37.63446286], [37.63497507, 37.6348208, 37.63484442, 37.63500319, 37.63499464, 37.63499956, 37.63499533, 37.63498591, 37.63497507]]","[[127.02177582, 127.02177593, 127.02192367, 127.02191702, 127.02185867, 127.02185777, 127.02176407, 127.02176836, 127.02158698, 127.02158833, 127.02142802, 127.02143242, 127.02177582], [127.02245577, 127.02245667, 127.02246947, 127.02247512, 127.02271485, 127.02271598, 127.02276787, 127.02277002, 127.02278906, 127.02278005, 127.0225822, 127.02258198, 127.0225532, 127.02255297, 127.02245577], [127.02103622, 127.02085514, 127.02092773, 127.02110621, 127.0210882, 127.02109534, 127.02103622], [127.02121053, 127.02114608, 127.0209607, 127.0210282, 127.02121053], [127.02102954, 127.02094779, 127.02101824, 127.02109967, 127.02102954], [127.0222814, 127.02204569, 127.0220674, 127.02213761, 127.02213555, 127.02214616, 127.02214904, 127.02219701, 127.02222692, 127.02222003, 127.02222861, 127.02222373, 127.02224946, 127.02225072, 127.0222961, 127.0222814], [127.02082569, 127.020844, 127.02115869, 127.02113985, 127.02102593, 127.02102534, 127.02096894, 127.02097006, 127.02082569]]"
(주)삼표에너지 김포충전소,"[37.5380944907991, 126.798090686825]",[],[]
강서가스충전소,"[37.5549368206352, 126.768987283185]",[],[]
대양가스충전소,"[37.5584437800742, 126.860708617203]",[],[]
오곡동충전소,"[37.5558048611293, 126.768229926742]",[],[]
공항로충전소,"[37.5535726198354, 126.858387511033]","[[37.55415586, 37.55421644, 37.55413742, 37.55407684, 37.55415586], [37.5542614, 37.55423295, 37.55421567, 37.55420384, 37.55417789, 37.55414765, 37.55416273, 37.55416768, 37.55422088, 37.55425932, 37.55424857, 37.55426018, 37.55424781, 37.5542614]]","[[126.85904755, 126.85899685, 126.85884806, 126.85889876, 126.85904755], [126.85885055, 126.85879311, 126.85880888, 126.85878841, 126.85878902, 126.85881262, 126.85884326, 126.85883941, 126.85894705, 126.85891698, 126.85889516, 126.85888609, 126.8588611, 126.85885055]]"
대흥에너지산업(주),"[37.5301629369371, 126.847319107047]","[[37.53101118, 37.53100298, 37.53093875, 37.5309369, 37.53087006, 37.53087164, 37.5308083, 37.53081379, 37.53101118], [37.5302955, 37.53040378, 37.53039158, 37.53028141, 37.53028745, 37.53029186, 37.53029378, 37.53028964, 37.5302955], [37.53091482, 37.53091024, 37.5308956, 37.53089358, 37.53088398, 37.53088181, 37.53067566, 37.53068785, 37.53075322, 37.53075103, 37.53086775, 37.53086634, 37.53091482], [37.53021455, 37.53022194, 37.53022277, 37.53030138, 37.530286, 37.53020704, 37.53021636, 37.53020918, 37.53021455]]","[[126.84661275, 126.8464788, 126.84648595, 126.84645224, 126.84645803, 126.84649537, 126.84649957, 126.84663181, 126.84661275], [126.84827446, 126.84826, 126.84809631, 126.84811101, 126.84818284, 126.84818227, 126.84820523, 126.84820569, 126.84827446], [126.8468115, 126.84674205, 126.84674357, 126.84671313, 126.84671413, 126.84668143, 126.84670293, 126.84688739, 126.84688056, 126.84685015, 126.84683797, 126.84681656, 126.8468115], [126.84669783, 126.8466964, 126.84671167, 126.84670276, 126.84648304, 126.84649194, 126.8466221, 126.8466229, 126.84669783]]"
한경에너지,"[37.5875313553216, 126.799091590521]",[],[]
활주로충전소,"[37.542884007, 126.817080254]",[],[]
